product,revenue,units,kg,n_invoices,rank,cum_pct_revenue,abc_class,volume_tier
Frio Russian 1kg,33315.4,767.0,767.0,459,209,88.31693742026057,B,High Volume
Eskort BBQ Spare Ribs Pre-Cooked 1kg FR,32413.05,239.0,239.0,122,210,88.39658344880189,B,High Volume
Eskort Chicken Vienna 500g,31641.16,863.0,430.5,516,211,88.474332772992,B,High Volume
Frio Smokie 2kg Loose,31600.239999999998,406.0,812.0,264,212,88.55198154769704,B,High Volume
Risi Marie  2kg,31301.52,360.0,720.0,174,213,88.62889630133199,B,High Volume
Eskort Bacon Cuts 200g,31258.83,1588.0,317.6,370,214,88.70570615620058,B,High Volume
Smoked Viennas 500g,30923.53,3876.0,1938.0,865,215,88.78169210485332,B,High Volume
Clover UHT Numel 6 x 1lt,30870.280000000002,451.0,2694.0,219,216,88.8575472064855,B,High Volume
RTE: Mini Eisbein P/kg,30579.57,774.0,239.96,275,217,88.93268796938816,B,High Volume
Special Garlic Polony 12 x 500g,29816.93,83.0,498.0,10,218,89.00595475723425,B,High Volume
Eskort Footlong Chilli Cheese Russian 1kg,29522.0,376.0,376.0,290,219,89.078496836878,B,High Volume
Pepsi 2L Combo Deal,29062.71,773.0,0.0,296,220,89.14991033946875,B,Low Volume
Eskort Deli Mini Cheese Griller 1kg,28902.84,257.0,257.0,185,221,89.22093100613127,B,High Volume
Chopped Ham Roll 6 x 1kg,28252.92,102.0,612.0,9,222,89.29035467569325,B,High Volume
Toplay Large 18's Eggs,27992.52,648.0,719.2800000000001,438,223,89.35913848489554,B,High Volume
Eskort Chicken & Cheese Vienna 500g,27938.53,642.0,321.0,419,224,89.42778962873368,B,High Volume
Coke 440ml,27877.42,2142.0,942.48,755,225,89.49629061179387,B,High Volume
Garlic Polony 24 x 250g,27794.4,150.0,900.0,15,226,89.56458759636301,B,High Volume
Eskort Marinated Rib Burger 800g,27774.39,385.0,304.8,273,227,89.63283541193908,B,High Volume
Eskort  Kapana Polony 80g,27637.41,1702.0,680.8,651,228,89.70074663737662,B,High Volume
Smoked Pork Shanks p/kg,27516.170000000002,329.0,485.13,225,229,89.76835994933488,B,High Volume
BC - Pepsi Cola 2Lt,27350.64,2483.0,4966.0,808,230,89.8355665174938,B,High Volume
Clover IWS Cheddar Proc 950g,27258.72,226.0,214.7,173,231,89.90254721789441,B,High Volume
Streaky Bacon 200g,27050.35,1004.0,199.6,424,232,89.96901590714621,B,High Volume
Beetroot 5kg,27042.52,561.0,2805.0,176,233,90.03546535635725,B,High Volume
RTE: Hotdog R10,26530.38,3054.0,17.25,635,234,90.1006563643831,B,Low Volume
Clover Aquartz Still Water 1.5Litres,26262.74,1561.0,2341.5,777,235,90.1651897217689,B,High Volume
Sandrivier Voortrekker Boerewors 2.5kg,26120.8,115.0,287.5,97,236,90.22937430119978,B,High Volume
Smoked Spare Ribs p/kg,26027.38,271.0,206.4,166,237,90.29332932704081,B,High Volume
Eskort Deli Pork Sausage 1kg,25950.84,271.0,271.0,148,238,90.35709627718317,B,High Volume
Smoked Mini Eisbein p/kg,25906.82,110.0,309.02,69,239,90.42075506045518,B,High Volume
Liver Spread 20 x 100g,25839.45,251.0,502.0,24,240,90.48424830074552,B,High Volume
RTE: Kota 2,25619.52,627.0,0.0,181,241,90.54720112441177,B,Low Volume
Combo Deal 2,25606.100000000002,279.0,0.0,115,242,90.61012097217161,B,Low Volume
Shoulder Bacon 200g,25405.92,3298.0,659.6,768,243,90.67254893342299,B,High Volume
Rindless Back Bacon 200g,25174.989999999998,2466.0,493.2,697,244,90.73440944861882,B,High Volume
Eskort Sliced Ham & Tongue Loaf 12 x 180g,25107.48,130.0,283.89000000000004,21,245,90.79610407682198,B,High Volume
Clover IWS Gouda Proc 950g,24780.68,206.0,195.7,166,246,90.85699568518817,B,High Volume
EDFP - Polony 2.5Kg,24678.52,150.0,0.0,108,247,90.91763626385256,B,Low Volume
Supreme Crumbed Schnitzel 960g,24332.41,296.0,284.15999999999997,185,248,90.97742637374161,B,High Volume
Eskort Chillinaise Sauce 500ml,24320.62,642.0,321.0,452,249,91.03718751299455,B,High Volume
Frio Red Vienna 2kg Loose,24120.2,294.0,588.0,221,250,91.09645617600599,B,High Volume
Eskort Prego Sauce 500ml,23836.7,629.0,314.5,455,251,91.15502821685162,B,High Volume
RTE: Pap Per p/kg,23706.65,1871.0,779.89,830,252,91.21328069610054,B,High Volume
Combo Deal 10,23683.87,307.0,0.0,185,253,91.27147719985409,B,Low Volume
Supreme Thighs 5Kg,23042.45,106.0,530.0,78,254,91.32809759288598,B,High Volume
Crown National - Six Gun Grill Hot 200g,23040.64,1025.0,204.6,620,255,91.38471353834778,B,High Volume
French 2.5 kg PROMO Combo,22485.96,135.0,0.0,108,256,91.43996651244122,B,Low Volume
Ham and Tongue Roll 12 x 500g,22477.14,50.0,300.0,7,257,91.49519781384505,B,High Volume
Frio Polony 2kg,22322.19,395.0,790.0,282,258,91.55004836884821,B,High Volume
Spud Master Frozen Potato Chips 10mm 1.5Kg,22135.93,407.0,610.5,187,259,91.60444124185982,B,High Volume
Soft Drink Schweppes 1L Tonic Water,21476.6,1418.0,1418.0,377,260,91.65721399532086,B,High Volume
Garlic Polony 1kg COMBO,21432.11,284.0,0.0,185,261,91.70987742701769,B,Low Volume
1Kg Vienna Promotion,20928.53,231.0,0.0,99,262,91.76130345134148,B,Low Volume
Six Gun Tub 1kg,20719.53,233.0,233.0,174,263,91.8122159164672,B,High Volume
PS Caramilk 48g,20653.11,1398.0,67.89,608,264,91.8629651729712,B,High Volume
Lunch Bar Large 44g,20639.079999999998,1404.0,64.57000000000001,592,265,91.91367995466398,B,High Volume
Chopped Ham Roll 1kg,20428.61,385.0,385.0,294,266,91.96387756504373,B,High Volume
Medium Veg Combo,20418.16,184.0,0.0,71,267,92.01404949746357,B,Low Volume
Country Classic Wors P/Kg,20417.23,444.0,272.29,238,268,92.06421914466786,B,High Volume
Berg-C Flavoured m/f processed cheese 800g,20302.07,286.0,228.8,210,269,92.11410581829679,B,High Volume
Eskort Bulk Pork Stewing Meat 3kg,20208.35,80.0,240.0,77,270,92.16376220116953,B,High Volume
Beef Biltong Chilli Bites p/kg,20170.58,535.0,54.71,327,271,92.21332577480345,B,High Volume
Pig Tails 1.5kg,20131.75,295.0,442.5,230,272,92.26279393454426,B,High Volume
Mini Ribs Smoked Bulk P/Kg,19707.22,223.0,196.6,153,273,92.31121893023551,B,High Volume
Streaky Bacon 1kg,19472.75,132.0,130.0,108,274,92.35906778130871,B,High Volume
Round Cut Bacon 25 x 200g,19369.4,45.0,225.0,3,275,92.40666267858707,B,High Volume
